docname,topic,proportion
Bible_page_2042.txt,024,0.115233
Taoist_page_69.txt,031,0.353914
Taoist_page_69.txt,011,0.324647
Taoist_page_69.txt,007,0.321439
Bible_page_1176.txt,000,0.770777
Bible_page_1176.txt,010,0.133203
Bible_page_1176.txt,013,0.091629
Bible_page_1176.txt,006,0.004391
GuruGranth_page_45.txt,021,0.460751
GuruGranth_page_45.txt,004,0.357817
GuruGranth_page_45.txt,001,0.181431
GuruGranth_page_1312.txt,021,0.456193
GuruGranth_page_1312.txt,004,0.399302
GuruGranth_page_1312.txt,001,0.106582
GuruGranth_page_1312.txt,006,0.037924
Bible_page_2127.txt,024,0.793113
Bible_page_2127.txt,011,0.193127
Bible_page_2127.txt,016,0.01376
Bible_page_2091.txt,024,0.623401
Bible_page_2091.txt,003,0.219877
Bible_page_2091.txt,013,0.102915
Bible_page_2091.txt,018,0.053806
Bible_page_1925.txt,019,0.284428
Bible_page_1925.txt,022,0.17317
Bible_page_1925.txt,008,0.161569
Bible_page_1925.txt,025,0.143628
Bible_page_1925.txt,010,0.123086
Bible_page_1925.txt,013,0.114118
GuruGranth_page_1361.txt,006,0.444538
GuruGranth_page_1361.txt,012,0.259656
GuruGranth_page_1361.txt,021,0.168323
GuruGranth_page_1361.txt,001,0.09864
GuruGranth_page_1361.txt,010,0.028843
Bible_page_2386.txt,003,0.66987
Bible_page_2386.txt,011,0.164043
Bible_page_2386.txt,024,0.116705
Bible_page_2386.txt,015,0.049382
GuruGranth_page_508.txt,004,0.701447
GuruGranth_page_508.txt,012,0.224293
GuruGranth_page_508.txt,001,0.07426
GuruGranth_page_357.txt,012,0.574188
GuruGranth_page_357.txt,006,0.153372
GuruGranth_page_357.txt,001,0.14885
GuruGranth_page_357.txt,015,0.089353
GuruGranth_page_357.txt,034,0.034236
Bible_page_827.txt,018,0.70065
Bible_page_827.txt,005,0.29935
GuruGranth_page_821.txt,001,0.344659
GuruGranth_page_821.txt,012,0.299364
GuruGranth_page_821.txt,021,0.199901
GuruGranth_page_821.txt,006,0.156076
Taoist_page_126.txt,031,1.0
GuruGranth_page_1154.txt,004,0.375077
GuruGranth_page_1154.txt,021,0.356821
GuruGranth_page_1154.txt,012,0.263784
GuruGranth_page_1154.txt,001,0.004319
Bible_page_1616.txt,005,0.699554
Bible_page_1616.txt,019,0.109211
Bible_page_1616.txt,013,0.097427
Bible_page_1616.txt,000,0.093807
Bible_page_1361.txt,027,0.86505
Bible_page_1361.txt,025,0.090033
Bible_page_1361.txt,000,0.044917
GuruGranth_page_566.txt,006,0.715362
GuruGranth_page_566.txt,004,0.207102
